"","lat","long","depth","mag","stations"
"1",62.4333,-151.1768,80.4,1.5,1
"2",18.235,-68.0373,8,2.09,3
"3",45.91983,-111.45933,-2,1.38,7
"4",64.3763,-149.7182,15,0.8,1
"5",36.6938,-116.3163,9.8,-0.4,9
"6",51.636,-178.2355,17.6,2.2,1
"7",35.70767,-121.05267,6.26,1.69,2
"8",52.1425,-165.3914,7.1,2.4,1
"9",61.3976,-150.1104,44.4,1.1,1
"10",47.76083,-113.91083,5.71,-0.58,7
"11",19.4795,-68.1683,69,2.88,3
"12",38.839,-122.78667,1.38,0.93,2
"13",38.82817,-122.84933,1.43,1.14,2
"14",59.8143,-153.397,129.1,1.6,1
"15",66.2828,-142.1613,19.1,1.2,1
"16",23.9792,94.4999,82.03,4,13
"17",38.6758,-117.0687,0,1.6,9
"18",36.73583,-121.25383,11.73,1.15,2
"19",23.7813,143.0494,10,4.7,13
"20",61.537,-148.0173,1.9,2.3,1
"21",42.88133,-123.3365,-0.52,1.83,15
"22",19.4095,-155.44583,1.02,2,4
"23",19.4796,-68.121,9,2.96,3
"24",62.0377,-149.2561,37.2,1.8,1
"25",36.08533,-117.8425,2,1.55,2
"26",65.2158,-152.6703,9.6,1.4,1
"27",36.2949,-98.1913,5,2.3,13
"28",36.775,-121.5515,-0.32,0.93,2
"29",52.9551,-167.4817,37.6,1.8,1
"30",44.562,-110.95867,12.93,1.51,14
"31",35.30183,-118.554,6.85,1.14,2
"32",19.3265,-68.4336,80,3.31,3
"33",60.477,-152.83617,3.75,0.37,1
"34",60.9987,-152.492,113.5,1,1
"35",33.35983,-116.38517,14.29,0.76,2
"36",18.5643,-66.7948,18,2.28,3
"37",59.7125,-151.4238,56.6,1,1
"38",33.83633,-117.50117,-0.54,1.63,2
"39",43.6868,-105.1455,0,2.9,13
"40",36.895,-121.61583,-0.12,1.51,2
"41",61.5037,-149.72,39.1,0.9,1
"42",19.6185,-68.0915,56,3.17,3
"43",37.64267,-118.91633,4.51,1.45,2
"44",63.3033,-151.2268,8.8,0.7,1
"45",33.9335,-116.689,0.46,0.41,2
"46",45.85883,-111.34617,6,0.97,7
"47",33.47817,-116.49983,12.44,1.01,2
"48",38.598,-122.398,8.53,1.86,2
"49",19.397,-68.1735,93,3.24,3
"50",61.4788,-150.2479,46.7,0.8,1
"51",35.06417,-118.33167,-0.99,1.28,2
"52",58.3855,-154.7695,4.55,0.51,1
"53",36.04883,-121.54683,16,1.47,2
"54",38.74517,-122.736,1.91,2.11,2
"55",59.7739,-152.8323,85.2,1.7,1
"56",33.85167,-117.48767,-0.45,1.42,2
"57",33.51617,-116.79633,5.02,0.48,2
"58",39.2628,-115.0295,2.8,1.8,9
"59",61.0841,-149.261,13.5,0.9,1
"60",45.99667,-112.471,-2,1.61,7
"61",38.45117,-113.068,4.76,1.24,14
"62",61.4396,-149.9127,31.9,1,1
"63",37.8875,-122.19917,8,0.79,2
"64",65.0024,-147.0743,14.8,0.7,1
"65",37.45717,-118.89417,3.14,0.58,2
